ID_Barco;Puerto_Origen;Puerto_Destino;Tiempo_Viaje_hrs;Costo_Viaje_libras
3;3;18;79;27179
4;3;18;79;27179
1;3;19;31;18551
2;3;19;34;11757
3;3;19;36;12553
4;3;19;36;12553
1;3;20;74;43821
2;3;20;80;27772
3;3;20;86;29652
4;3;20;86;29652
1;3;21;76;44847
2;3;21;82;28422
3;3;21;88;30346
4;3;21;88;30346
1;3;22;33;19407
2;3;22;35;12299
3;3;22;38;13132
4;3;22;38;13132
1;3;23;31;18446
2;3;23;34;11690
3;3;23;36;12482
4;3;23;36;12482
1;3;24;33;19407
2;3;24;35;12299
3;3;24;38;13132
4;3;24;38;13132
1;3;25;77;45331
2;3;25;83;28728
3;3;25;89;30674
4;3;25;89;30674
1;3;26;11;6533
2;3;26;12;4140
3;3;26;13;4421
4;3;26;13;4421
1;3;27;48;28414
2;3;27;52;18007
3;3;27;56;19227
4;3;27;56;19227
1;3;28;27;15806
2;3;28;29;10017
3;3;28;31;10696
4;3;28;31;10696
1;3;29;120;70971
2;3;29;129;44978
3;3;29;140;48024
4;3;29;140;48024
1;3;30;51;29846
2;3;30;54;18915
3;3;30;59;20196
4;3;30;59;20196
1;3;31;59;34997
2;3;31;64;22179
3;3;31;69;23681
4;3;31;69;23681
1;3;32;13;7847
2;3;32;14;4973
3;3;32;15;5310
4;3;32;15;5310
1;3;33;91;53699
2;3;33;98;34032
3;3;33;106;36336
4;3;33;106;36336
1;3;34;153;90502
2;3;34;165;57355
3;3;34;178;61240
4;3;34;178;61240
1;3;35;189;111665
2;3;35;203;70768
3;3;35;220;75560
4;3;35;220;75560
1;3;36;151;88892
2;3;36;162;56335
3;3;36;175;60150
4;3;36;175;60150
1;3;37;206;121427
2;3;37;221;76954
3;3;37;239;82165
4;3;37;239;82165
1;3;38;200;118253
2;3;38;215;74943
3;3;38;232;80018
4;3;38;232;80018
1;3;39;152;89664
2;3;39;163;56825
3;3;39;176;60673
4;3;39;176;60673
1;4;1;125;73474
2;4;1;134;46564
3;4;1;144;49718
4;4;1;144;49718
1;4;2;76;44679
2;4;2;81;28315
3;4;2;88;30233
4;4;2;88;30233
1;4;3;110;64988
2;4;3;118;41186
3;4;3;128;43975
4;4;3;128;43975
1;4;4;0;0
2;4;4;0;0
3;4;4;0;0
4;4;4;0;0
1;4;5;104;61415
2;4;5;112;38922
3;4;5;121;41558
4;4;5;121;41558
1;4;6;109;64347
2;4;6;117;40780
3;4;6;127;43541
4;4;6;127;43541
1;4;7;106;62371
2;4;7;114;39527
3;4;7;123;42204
4;4;7;123;42204
1;4;8;127;75115
2;4;8;137;47604
3;4;8;148;50828
4;4;8;148;50828
1;4;9;169;99814
2;4;9;182;63257
3;4;9;196;67541
4;4;9;196;67541
1;4;10;17;9967
2;4;10;18;6317
3;4;10;20;6744
4;4;10;20;6744
1;4;11;24;14427
2;4;11;26;9143
3;4;11;28;9762
4;4;11;28;9762
1;4;12;82;48625
2;4;12;89;30816
3;4;12;96;32903
4;4;12;96;32903
1;4;13;83;48694
2;4;13;89;30860
3;4;13;96;32950
4;4;13;96;32950
1;4;14;103;60903
2;4;14;111;38597
3;4;14;120;41211
4;4;14;120;41211
1;4;15;120;70594
2;4;15;129;44739
3;4;15;139;47769
4;4;15;139;47769
1;4;16;107;63143
2;4;16;115;40017
3;4;16;124;42727
4;4;16;124;42727
1;4;17;151;88809
2;4;17;162;56282
3;4;17;175;60094
4;4;17;175;60094
1;4;18;172;101355
2;4;18;185;64233
3;4;18;199;68583
4;4;18;199;68583
1;4;19;136;80399
2;4;19;146;50953
3;4;19;158;54403
4;4;19;158;54403
1;4;20;37;22120
2;4;20;40;14019
3;4;20;43;14968
4;4;20;43;14968
1;4;21;36;21370
2;4;21;39;13543
3;4;21;42;14460
4;4;21;42;14460
1;4;22;140;82417
2;4;22;150;52231
3;4;22;162;55769
4;4;22;162;55769
1;4;23;138;81456
2;4;23;148;51623
3;4;23;160;55119
4;4;23;160;55119
1;4;24;140;82417
2;4;24;150;52231
3;4;24;162;55769
4;4;24;162;55769
1;4;25;34;19994
2;4;25;36;12671
3;4;25;39;13529
4;4;25;39;13529
1;4;26;105;62228
2;4;26;113;39437
3;4;26;122;42107
4;4;26;122;42107
1;4;27;155;91424
2;4;27;166;57940
3;4;27;180;61864
4;4;27;180;61864
1;4;28;87;51279
2;4;28;93;32498
3;4;28;101;34699
4;4;28;101;34699
1;4;29;65;38305
2;4;29;70;24276
3;4;29;75;25920
4;4;29;75;25920
1;4;30;73;43047
2;4;30;78;27281
3;4;30;85;29128
4;4;30;85;29128
1;4;31;53;31228
2;4;31;57;19790
3;4;31;61;21131
4;4;31;61;21131
1;4;32;120;70857
2;4;32;129;44906
3;4;32;139;47947
4;4;32;139;47947
1;4;33;21;12552
2;4;33;23;7955
3;4;33;25;8494
4;4;33;25;8494
1;4;34;44;25962
2;4;34;47;16453
3;4;34;51;17568
4;4;34;51;17568
1;4;35;81;47694
2;4;35;87;30226
3;4;35;94;32273
4;4;35;94;32273
1;4;36;41;24353
2;4;36;44;15433
3;4;36;48;16479
4;4;36;48;16479
1;4;37;97;57252
2;4;37;104;36284
3;4;37;113;38741
4;4;37;113;38741
1;4;38;92;54078
2;4;38;98;34272
3;4;38;106;36593
4;4;38;106;36593
1;4;39;43;25125
2;4;39;46;15923
3;4;39;49;17001
4;4;39;49;17001
1;5;1;62;36418
2;5;1;66;23080
3;5;1;72;24643
4;5;1;72;24643
1;5;2;47;27899
2;5;2;51;17681
3;5;2;55;18878
4;5;2;55;18878
1;5;3;47;27932
2;5;3;51;17702
3;5;3;55;18900
4;5;3;55;18900
1;5;4;104;61415
2;5;4;112;38922
3;5;4;121;41558
4;5;4;121;41558
1;5;5;0;0
2;5;5;0;0
3;5;5;0;0
4;5;5;0;0
1;5;6;46;27326
2;5;6;50;17318
3;5;6;54;18491
4;5;6;54;18491
1;5;7;43;25352
2;5;7;46;16067
3;5;7;50;17155
4;5;7;50;17155
1;5;8;65;38059
2;5;8;69;24120
3;5;8;75;25753
4;5;8;75;25753
1;5;9;106;62758
2;5;9;114;39773
3;5;9;123;42466
4;5;9;123;42466
1;5;10;88;51683
2;5;10;94;32754
3;5;10;102;34972
4;5;10;102;34972
1;5;11;82;48184
2;5;11;88;30537
3;5;11;95;32605
4;5;11;95;32605
1;5;12;40;23627
2;5;12;43;14974
3;5;12;46;15987
4;5;12;46;15987
1;5;13;36;21014
2;5;13;38;13318
3;5;13;41;14220
4;5;13;41;14220
1;5;14;41;23900
2;5;14;44;15147
3;5;14;47;16172
4;5;14;47;16172
1;5;15;51;30057
2;5;15;55;19048
3;5;15;59;20338
4;5;15;59;20338
1;5;16;44;26123
2;5;16;48;16555
3;5;16;51;17676
4;5;16;51;17676
1;5;17;88;51753
2;5;17;94;32798
3;5;17;102;35019
4;5;17;102;35019
1;5;18;75;44318
2;5;18;81;28086
3;5;18;87;29988
4;5;18;87;29988
1;5;19;50;29632
2;5;19;54;18779
3;5;19;58;20051
4;5;19;58;20051
1;5;20;68;40249
2;5;20;73;25508
3;5;20;79;27235
4;5;20;79;27235
1;5;21;70;41274
2;5;21;75;26158
3;5;21;81;27929
4;5;21;81;27929
1;5;22;77;45361
2;5;22;83;28747
3;5;22;89;30694
4;5;22;89;30694
1;5;23;75;44400
2;5;23;81;28139
3;5;23;87;30044
4;5;23;87;30044
1;5;24;77;45361
2;5;24;83;28747
3;5;24;89;30694
4;5;24;89;30694
1;5;25;71;41758
2;5;25;76;26464
3;5;25;82;28256
4;5;25;82;28256
1;5;26;43;25172
2;5;26;46;15953
3;5;26;49;17033
4;5;26;49;17033
1;5;27;92;54368
2;5;27;99;34456
3;5;27;107;36789
4;5;27;107;36789
1;5;28;21;12388
2;5;28;23;7851
3;5;28;24;8383
4;5;28;24;8383
1;5;29;114;67342
2;5;29;123;42678
3;5;29;132;45568
4;5;29;132;45568
1;5;30;46;27354
2;5;30;50;17335
3;5;30;54;18509
4;5;30;54;18509
1;5;31;53;31425
2;5;31;57;19915
3;5;31;62;21264
4;5;31;62;21264
1;5;32;57;33801
2;5;32;62;21422
3;5;32;66;22872
4;5;32;66;22872
1;5;33;85;50127
2;5;33;91;31768
3;5;33;99;33919
4;5;33;99;33919
1;5;34;147;86929
2;5;34;158;55091
3;5;34;171;58822
4;5;34;171;58822
1;5;35;183;108093
2;5;35;197;68504
3;5;35;213;73143
4;5;35;213;73143
1;5;36;145;85320
2;5;36;155;54072
3;5;36;168;57733
4;5;36;168;57733
1;5;37;200;117854
2;5;37;215;74690
3;5;37;232;79748
4;5;37;232;79748
1;5;38;194;114680
2;5;38;209;72679
3;5;38;225;77600
4;5;38;225;77600
1;5;39;146;86092
2;5;39;157;54561
3;5;39;169;58256
4;5;39;169;58256
1;6;1;22;12877
2;6;1;23;8161
3;6;1;25;8713
4;6;1;25;8713
1;6;2;50;29744
2;6;2;54;18850
3;6;2;58;20126
4;6;2;58;20126
1;6;3;7;4021
2;6;3;7;2548
3;6;3;8;2721
4;6;3;8;2721
1;6;4;109;64347
2;6;4;117;40780
3;6;4;127;43541
4;6;4;127;43541
1;6;5;46;27326
2;6;5;50;17318
3;6;5;54;18491
4;6;5;54;18491
1;6;6;0;0
2;6;6;0;0
3;6;6;0;0
4;6;6;0;0
1;6;7;3;1976
2;6;7;4;1252
3;6;7;4;1337
4;6;7;4;1337
1;6;8;25;14517
2;6;8;26;9200
3;6;8;29;9823
4;6;8;29;9823
1;6;9;66;39216
2;6;9;71;24853
3;6;9;77;26536
4;6;9;77;26536
1;6;10;93;54614
2;6;10;99;34612
3;6;10;107;36955
4;6;10;107;36955
1;6;11;87;51116
2;6;11;93;32395
3;6;11;100;34588
4;6;11;100;34588
1;6;12;43;25472
2;6;12;46;16143
3;6;12;50;17236
4;6;12;50;17236
1;6;13;39;22859
2;6;13;42;14487
3;6;13;45;15468
4;6;13;45;15468
1;6;14;6;3466
2;6;14;6;2197
3;6;14;7;2346
4;6;14;7;2346
1;6;15;21;12319
2;6;15;22;7807
3;6;15;24;8336
4;6;15;24;8336
1;6;16;2;1203
2;6;16;2;763
3;6;16;2;814
4;6;16;2;814
1;6;17;48;28211
2;6;17;51;17879
3;6;17;55;19090
4;6;17;55;19090
1;6;18;72;42342
2;6;18;77;26835
3;6;18;83;28652
4;6;18;83;28652
1;6;19;35;20790
2;6;19;38;13176
3;6;19;41;14068
4;6;19;41;14068
1;6;20;73;43180
2;6;20;79;27365
3;6;20;85;29219
4;6;20;85;29219
1;6;21;75;44206
2;6;21;80;28015
3;6;21;87;29912
4;6;21;87;29912
1;6;22;37;21819
2;6;22;40;13828
3;6;22;43;14764
4;6;22;43;14764
1;6;23;35;20859
2;6;23;38;13219
3;6;23;41;14114
4;6;23;41;14114
1;6;24;37;21819
2;6;24;40;13828
3;6;24;43;14764
4;6;24;43;14764
1;6;25;76;44689
2;6;25;81;28322
3;6;25;88;30240
4;6;25;88;30240
1;6;26;11;6299
2;6;26;11;3992
3;6;26;12;4262
4;6;26;12;4262
1;6;27;52;30827
2;6;27;56;19536
3;6;27;61;20859
4;6;27;61;20859
1;6;28;26;15201
2;6;28;28;9633
3;6;28;30;10286
4;6;28;30;10286
1;6;29;119;70330
2;6;29;128;44572
3;6;29;138;47590
4;6;29;138;47590
1;6;30;50;29205
2;6;30;53;18509
3;6;30;57;19762
4;6;30;57;19762
1;6;31;58;34356
2;6;31;63;21773
3;6;31;68;23248
4;6;31;68;23248
1;6;32;17;10260
2;6;32;19;6502
3;6;32;20;6943
4;6;32;20;6943
1;6;33;90;53058
2;6;33;97;33625
3;6;33;104;35903
4;6;33;104;35903
1;6;34;152;89861
2;6;34;164;56949
3;6;34;177;60806
4;6;34;177;60806
1;6;35;188;111024
2;6;35;202;70361
3;6;35;218;75126
4;6;35;218;75126
1;6;36;150;88251
2;6;36;161;55929
3;6;36;174;59717
4;6;36;174;59717
1;6;37;205;120786
2;6;37;220;76548
3;6;37;237;81732
4;6;37;237;81732
1;6;38;199;117612
2;6;38;214;74536
3;6;38;231;79584
4;6;38;231;79584
1;6;39;151;89023
2;6;39;162;56418
3;6;39;175;60239
4;6;39;175;60239
1;7;1;20;11690
2;7;1;21;7409
3;7;1;23;7910
4;7;1;23;7910
1;7;2;47;27768
2;7;2;51;17598
3;7;2;55;18789
4;7;2;55;18789
1;7;3;5;2837
2;7;3;5;1798
3;7;3;6;1920
4;7;3;6;1920
1;7;4;106;62371
2;7;4;114;39527
3;7;4;123;42204
4;7;4;123;42204
1;7;5;43;25352
2;7;5;46;16067
3;7;5;50;17155
4;7;5;50;17155
1;7;6;3;1976
2;7;6;4;1252
3;7;6;4;1337
4;7;6;4;1337
1;7;7;0;0
2;7;7;0;0
3;7;7;0;0
4;7;7;0;0
1;7;8;23;13331
2;7;8;24;8448
3;7;8;26;9020
4;7;8;26;9020
1;7;9;64;38030
2;7;9;69;24101
3;7;9;75;25733
4;7;9;75;25733
1;7;10;89;52638
2;7;10;96;33359
3;7;10;103;35618
4;7;10;103;35618
1;7;11;83;49140
2;7;11;89;31142
3;7;11;97;33251
4;7;11;97;33251
1;7;12;40;23496
2;7;12;43;14890
3;7;12;46;15899
4;7;12;46;15899
1;7;13;35;20883
2;7;13;38;13235
3;7;13;41;14131
4;7;13;41;14131
1;7;14;3;1490
2;7;14;3;944
3;7;14;3;1008
4;7;14;3;1008
1;7;15;18;10806
2;7;15;20;6848
3;7;15;21;7312
4;7;15;21;7312
1;7;16;1;773
2;7;16;1;490
3;7;16;2;523
4;7;16;2;523
1;7;17;46;27024
2;7;17;49;17127
3;7;17;53;18287
4;7;17;53;18287
1;7;18;70;41088
2;7;18;75;26040
3;7;18;81;27803
4;7;18;81;27803
1;7;19;33;19556
2;7;19;36;12393
3;7;19;38;13233
4;7;19;38;13233
1;7;20;70;41204
2;7;20;75;26113
3;7;20;81;27881
4;7;20;81;27881
1;7;21;72;42229
2;7;21;77;26763
3;7;21;83;28575
4;7;21;83;28575
1;7;22;35;20632
2;7;22;38;13076
3;7;22;41;13961
4;7;22;41;13961
1;7;23;33;19672
2;7;23;36;12467
3;7;23;39;13311
4;7;23;39;13311
1;7;24;35;20632
2;7;24;38;13076
3;7;24;41;13961
4;7;24;41;13961
1;7;25;72;42713
2;7;25;78;27070
3;7;25;84;28903
4;7;25;84;28903
1;7;26;7;4384
2;7;26;8;2779
3;7;26;9;2967
4;7;26;9;2967
1;7;27;50;29640
2;7;27;54;18784
3;7;27;58;20056
4;7;27;58;20056
1;7;28;22;13226
2;7;28;24;8382
3;7;28;26;8950
4;7;28;26;8950
1;7;29;116;68354
2;7;29;124;43319
3;7;29;134;46253
4;7;29;134;46253
1;7;30;46;27229
2;7;30;50;17257
3;7;30;54;18425
4;7;30;54;18425
1;7;31;55;32380
2;7;31;59;20521
3;7;31;64;21910
4;7;31;64;21910
1;7;32;15;9073
2;7;32;17;5750
3;7;32;18;6140
4;7;32;18;6140
1;7;33;87;51082
2;7;33;93;32373
3;7;33;100;34565
4;7;33;100;34565
1;7;34;149;87885
2;7;34;160;55697
3;7;34;173;59469
4;7;34;173;59469
1;7;35;185;109048
2;7;35;199;69109
3;7;35;214;73789
4;7;35;214;73789
1;7;36;146;86275
2;7;36;157;54677
3;7;36;170;58380
4;7;36;170;58380
1;7;37;201;118810
2;7;37;216;75296
3;7;37;234;80395
4;7;37;234;80395
1;7;38;196;115635
2;7;38;211;73284
3;7;38;227;78247
4;7;38;227;78247
1;7;39;148;87047
2;7;39;158;55166
3;7;39;171;58902
4;7;39;171;58902
1;8;1;7;4132
2;8;1;8;2619
3;8;1;8;2796
4;8;1;8;2796
1;8;2;69;40512
2;8;2;74;25674
3;8;2;80;27413
4;8;2;80;27413
1;8;3;21;12105
2;8;3;22;7672
3;8;3;24;8191
4;8;3;24;8191
1;8;4;127;75115
2;8;4;137;47604
3;8;4;148;50828
4;8;4;148;50828
1;8;5;65;38059
2;8;5;69;24120
3;8;5;75;25753
4;8;5;75;25753
1;8;6;25;14517
2;8;6;26;9200
3;8;6;29;9823
4;8;6;29;9823
1;8;7;23;13331
2;8;7;24;8448
3;8;7;26;9020
4;8;7;26;9020
1;8;8;0;0
2;8;8;0;0
3;8;8;0;0
4;8;8;0;0
1;8;9;47;27882
2;8;9;51;17670
3;8;9;55;18867
4;8;9;55;18867
1;8;10;111;65382
2;8;10;119;41436
3;8;10;129;44242
4;8;10;129;44242
1;8;11;105;61884
2;8;11;113;39219
3;8;11;122;41875
4;8;11;122;41875
1;8;12;61;36240
2;8;12;66;22967
3;8;12;71;24522
4;8;12;71;24522
1;8;13;57;33628
2;8;13;61;21311
3;8;13;66;22755
4;8;13;66;22755
1;8;14;25;14617
2;8;14;27;9264
3;8;14;29;9891
4;8;14;29;9891
1;8;15;28;16724
2;8;15;30;10599
3;8;15;33;11317
4;8;15;33;11317
1;8;16;23;13314
2;8;16;24;8438
3;8;16;26;9009
4;8;16;26;9009
1;8;17;29;16877
2;8;17;31;10696
3;8;17;33;11420
4;8;17;33;11420
1;8;18;64;37797
2;8;18;69;23954
3;8;18;74;25576
4;8;18;74;25576
1;8;19;27;15976
2;8;19;29;10125
3;8;19;31;10811
4;8;19;31;10811
1;8;20;91;53948
2;8;20;98;34190
3;8;20;106;36505
4;8;20;106;36505
1;8;21;93;54974
2;8;21;100;34840
3;8;21;108;37199
4;8;21;108;37199
1;8;22;18;10485
2;8;22;19;6645
3;8;22;21;7095
4;8;22;21;7095
1;8;23;16;9524
2;8;23;17;6036
3;8;23;19;6445
4;8;23;19;6445
1;8;24;18;10485
2;8;24;19;6645
3;8;24;21;7095
4;8;24;21;7095
1;8;25;94;55458
2;8;25;101;35146
3;8;25;109;37526
4;8;25;109;37526
1;8;26;28;16269
2;8;26;30;10311
3;8;26;32;11009
4;8;26;32;11009
1;8;27;33;19492
2;8;27;35;12353
3;8;27;38;13190
4;8;27;38;13190
1;8;28;44;25933
2;8;28;47;16435
3;8;28;51;17548
4;8;28;51;17548
1;8;29;137;81098
2;8;29;148;51396
3;8;29;159;54877
4;8;29;159;54877
1;8;30;68;39973
2;8;30;73;25333
3;8;30;79;27049
4;8;30;79;27049
1;8;31;76;45124
2;8;31;82;28597
3;8;31;89;30534
4;8;31;89;30534
1;8;32;10;5783
2;8;32;11;3665
3;8;32;11;3913
4;8;32;11;3913
1;8;33;108;63826
2;8;33;116;40450
3;8;33;125;43189
4;8;33;125;43189
1;8;34;171;100629
2;8;34;183;63774
3;8;34;198;68092
4;8;34;198;68092
1;8;35;206;121792
2;8;35;222;77186
3;8;35;239;82413
4;8;35;239;82413
1;8;36;168;99019
2;8;36;180;62753
3;8;36;195;67003
4;8;36;195;67003
1;8;37;223;131554
2;8;37;239;83372
3;8;37;259;89018
4;8;37;259;89018
1;8;38;218;128380
2;8;38;234;81361
3;8;38;252;86870
4;8;38;252;86870
1;8;39;169;99791
2;8;39;182;63243
3;8;39;196;67526
4;8;39;196;67526
1;9;1;49;28831
2;9;1;52;18272
3;9;1;57;19509
4;9;1;57;19509
1;9;2;111;65211
2;9;2;119;41327
3;9;2;128;44126
4;9;2;128;44126
1;9;3;62;36804
2;9;3;67;23324
3;9;3;72;24904
4;9;3;72;24904
1;9;4;169;99814
2;9;4;182;63257
3;9;4;196;67541
4;9;4;196;67541
1;9;5;106;62758
2;9;5;114;39773
