ID_Barco;ID_Puerto_Origen;ID_Puerto_Destino;Tiempo_Viaje_hrs;Costo_Viaje_libras
8;1;23;19;17415
9;1;23;19;17415
10;1;23;19;17415
11;1;23;19;17415
12;1;23;20;4867
13;1;23;20;4867
14;1;23;20;4867
15;1;23;20;4867
16;1;23;21;7087
17;1;23;21;7087
1;1;24;21;14128
2;1;24;21;14128
3;1;24;19;11434
4;1;24;19;11434
5;1;24;23;15670
6;1;24;23;15670
7;1;24;23;15670
8;1;24;21;19013
9;1;24;21;19013
10;1;24;21;19013
11;1;24;21;19013
12;1;24;22;5314
13;1;24;22;5314
14;1;24;22;5314
15;1;24;22;5314
16;1;24;22;7737
17;1;24;22;7737
1;1;25;98;66498
2;1;25;98;66498
3;1;25;91;53817
4;1;25;91;53817
5;1;25;110;73754
6;1;25;110;73754
7;1;25;110;73754
8;1;25;100;89490
9;1;25;100;89490
10;1;25;100;89490
11;1;25;100;89490
12;1;25;102;25011
13;1;25;102;25011
14;1;25;102;25011
15;1;25;102;25011
16;1;25;106;36416
17;1;25;106;36416
1;1;26;27;18076
2;1;26;27;18076
3;1;26;25;14629
4;1;26;25;14629
5;1;26;30;20048
6;1;26;30;20048
7;1;26;30;20048
8;1;26;27;24325
9;1;26;27;24325
10;1;26;27;24325
11;1;26;27;24325
12;1;26;28;6799
13;1;26;28;6799
14;1;26;28;6799
15;1;26;28;6799
16;1;26;29;9899
17;1;26;29;9899
1;1;27;37;25258
2;1;27;37;25258
3;1;27;35;20441
4;1;27;35;20441
5;1;27;42;28014
6;1;27;42;28014
7;1;27;42;28014
8;1;27;38;33991
9;1;27;38;33991
10;1;27;38;33991
11;1;27;38;33991
12;1;27;39;9500
13;1;27;39;9500
14;1;27;39;9500
15;1;27;39;9500
16;1;27;40;13832
17;1;27;40;13832
1;1;28;44;30017
2;1;28;44;30017
3;1;28;41;24293
4;1;28;41;24293
5;1;28;50;33292
6;1;28;50;33292
7;1;28;50;33292
8;1;28;45;40395
9;1;28;45;40395
10;1;28;45;40395
11;1;28;45;40395
12;1;28;46;11290
13;1;28;46;11290
14;1;28;46;11290
15;1;28;46;11290
16;1;28;48;16438
17;1;28;48;16438
1;1;29;145;98181
2;1;29;145;98181
3;1;29;135;79458
4;1;29;135;79458
5;1;29;163;108894
6;1;29;163;108894
7;1;29;163;108894
8;1;29;148;132127
9;1;29;148;132127
10;1;29;148;132127
11;1;29;148;132127
12;1;29;150;36927
13;1;29;150;36927
14;1;29;150;36927
15;1;29;150;36927
16;1;29;156;53766
17;1;29;156;53766
1;1;30;70;47366
2;1;30;70;47366
3;1;30;65;38333
4;1;30;65;38333
5;1;30;79;52534
6;1;30;79;52534
7;1;30;79;52534
8;1;30;71;63742
9;1;30;71;63742
10;1;30;71;63742
11;1;30;71;63742
12;1;30;72;17815
13;1;30;72;17815
14;1;30;72;17815
15;1;30;72;17815
16;1;30;75;25939
17;1;30;75;25939
1;1;31;79;53730
2;1;31;79;53730
3;1;31;74;43483
4;1;31;74;43483
5;1;31;89;59593
6;1;31;89;59593
7;1;31;89;59593
8;1;31;81;72307
9;1;31;81;72307
10;1;31;81;72307
11;1;31;81;72307
12;1;31;82;20209
13;1;31;82;20209
14;1;31;82;20209
15;1;31;82;20209
16;1;31;85;29424
17;1;31;85;29424
1;1;32;8;5119
2;1;32;8;5119
3;1;32;7;4142
4;1;32;7;4142
5;1;32;8;5677
6;1;32;8;5677
7;1;32;8;5677
8;1;32;8;6888
9;1;32;8;6888
10;1;32;8;6888
11;1;32;8;6888
12;1;32;8;1925
13;1;32;8;1925
14;1;32;8;1925
15;1;32;8;1925
16;1;32;8;2803
17;1;32;8;2803
1;1;33;113;76839
2;1;33;113;76839
3;1;33;105;62186
4;1;33;105;62186
5;1;33;127;85223
6;1;33;127;85223
7;1;33;127;85223
8;1;33;116;103406
9;1;33;116;103406
10;1;33;116;103406
11;1;33;116;103406
12;1;33;118;28900
13;1;33;118;28900
14;1;33;118;28900
15;1;33;118;28900
16;1;33;122;42079
17;1;33;122;42079
1;1;34;180;122314
2;1;34;180;122314
3;1;34;168;98988
4;1;34;168;98988
5;1;34;203;135660
6;1;34;203;135660
7;1;34;203;135660
8;1;34;184;164603
9;1;34;184;164603
10;1;34;184;164603
11;1;34;184;164603
12;1;34;187;46004
13;1;34;187;46004
14;1;34;187;46004
15;1;34;187;46004
16;1;34;195;66982
17;1;34;195;66982
1;1;35;219;148464
2;1;35;219;148464
3;1;35;204;120151
4;1;35;204;120151
5;1;35;246;164664
6;1;35;246;164664
7;1;35;246;164664
8;1;35;224;199794
9;1;35;224;199794
10;1;35;224;199794
11;1;35;224;199794
12;1;35;227;55840
13;1;35;227;55840
14;1;35;227;55840
15;1;35;227;55840
16;1;35;236;81302
17;1;35;236;81302
1;1;36;177;120325
2;1;36;177;120325
3;1;36;165;97379
4;1;36;165;97379
5;1;36;199;133455
6;1;36;199;133455
7;1;36;199;133455
8;1;36;181;161927
9;1;36;181;161927
10;1;36;181;161927
11;1;36;181;161927
12;1;36;184;45256
13;1;36;184;45256
14;1;36;184;45256
15;1;36;184;45256
16;1;36;191;65893
17;1;36;191;65893
1;1;37;237;160526
2;1;37;237;160526
3;1;37;220;129913
4;1;37;220;129913
5;1;37;266;178042
6;1;37;266;178042
7;1;37;266;178042
8;1;37;242;216027
9;1;37;242;216027
10;1;37;242;216027
11;1;37;242;216027
12;1;37;246;60376
13;1;37;246;60376
14;1;37;246;60376
15;1;37;246;60376
16;1;37;255;87908
17;1;37;255;87908
1;1;38;231;156604
2;1;38;231;156604
3;1;38;215;126739
4;1;38;215;126739
5;1;38;260;173692
6;1;38;260;173692
7;1;38;260;173692
8;1;38;236;210749
9;1;38;236;210749
10;1;38;236;210749
11;1;38;236;210749
12;1;38;240;58901
13;1;38;240;58901
14;1;38;240;58901
15;1;38;240;58901
16;1;38;249;85760
17;1;38;249;85760
1;1;39;179;121279
2;1;39;179;121279
3;1;39;166;98151
4;1;39;166;98151
5;1;39;201;134513
6;1;39;201;134513
7;1;39;201;134513
8;1;39;183;163211
9;1;39;183;163211
10;1;39;183;163211
11;1;39;183;163211
12;1;39;186;45615
13;1;39;186;45615
14;1;39;186;45615
15;1;39;186;45615
16;1;39;193;66415
17;1;39;193;66415
1;2;1;71;48031
2;2;1;71;48031
3;2;1;66;38871
4;2;1;66;38871
5;2;1;80;53272
6;2;1;80;53272
7;2;1;80;53272
8;2;1;72;64637
9;2;1;72;64637
10;2;1;72;64637
11;2;1;72;64637
12;2;1;73;18065
13;2;1;73;18065
14;2;1;73;18065
15;2;1;73;18065
16;2;1;76;26303
17;2;1;76;26303
1;2;2;0;0
2;2;2;0;0
3;2;2;0;0
4;2;2;0;0
5;2;2;0;0
6;2;2;0;0
7;2;2;0;0
8;2;2;0;0
9;2;2;0;0
10;2;2;0;0
11;2;2;0;0
12;2;2;0;0
13;2;2;0;0
14;2;2;0;0
15;2;2;0;0
16;2;2;0;0
17;2;2;0;0
1;2;3;55;37544
2;2;3;55;37544
3;2;3;51;30385
4;2;3;51;30385
5;2;3;62;41641
6;2;3;62;41641
7;2;3;62;41641
8;2;3;57;50525
9;2;3;57;50525
10;2;3;57;50525
11;2;3;57;50525
12;2;3;57;14121
13;2;3;57;14121
14;2;3;57;14121
15;2;3;57;14121
16;2;3;60;20560
17;2;3;60;20560
1;2;4;81;55207
2;2;4;81;55207
3;2;4;76;44679
4;2;4;76;44679
5;2;4;92;61231
6;2;4;92;61231
7;2;4;92;61231
8;2;4;83;74294
9;2;4;83;74294
10;2;4;83;74294
11;2;4;83;74294
12;2;4;84;20764
13;2;4;84;20764
14;2;4;84;20764
15;2;4;84;20764
16;2;4;88;30233
17;2;4;88;30233
1;2;5;51;34473
2;2;5;51;34473
3;2;5;47;27899
4;2;5;47;27899
5;2;5;57;38234
6;2;5;57;38234
7;2;5;57;38234
8;2;5;52;46391
9;2;5;52;46391
10;2;5;52;46391
11;2;5;52;46391
12;2;5;53;12966
13;2;5;53;12966
14;2;5;53;12966
15;2;5;53;12966
16;2;5;55;18878
17;2;5;55;18878
1;2;6;54;36752
2;2;6;54;36752
3;2;6;50;29744
4;2;6;50;29744
5;2;6;61;40763
6;2;6;61;40763
7;2;6;61;40763
8;2;6;55;49459
9;2;6;55;49459
10;2;6;55;49459
11;2;6;55;49459
12;2;6;56;13823
13;2;6;56;13823
14;2;6;56;13823
15;2;6;56;13823
16;2;6;58;20126
17;2;6;58;20126
1;2;7;51;34311
2;2;7;51;34311
3;2;7;47;27768
4;2;7;47;27768
5;2;7;57;38054
6;2;7;57;38054
7;2;7;57;38054
8;2;7;52;46173
9;2;7;52;46173
10;2;7;52;46173
11;2;7;52;46173
12;2;7;52;12905
13;2;7;52;12905
14;2;7;52;12905
15;2;7;52;12905
16;2;7;55;18789
17;2;7;55;18789
1;2;8;74;50058
2;2;8;74;50058
3;2;8;69;40512
4;2;8;69;40512
5;2;8;83;55520
6;2;8;83;55520
7;2;8;83;55520
8;2;8;75;67365
9;2;8;75;67365
10;2;8;75;67365
11;2;8;75;67365
12;2;8;77;18828
13;2;8;77;18828
14;2;8;77;18828
15;2;8;77;18828
16;2;8;80;27413
17;2;8;80;27413
1;2;9;119;80577
2;2;9;119;80577
3;2;9;111;65211
4;2;9;111;65211
5;2;9;134;89369
6;2;9;134;89369
7;2;9;134;89369
8;2;9;121;108436
9;2;9;121;108436
10;2;9;121;108436
11;2;9;121;108436
12;2;9;123;30306
13;2;9;123;30306
14;2;9;123;30306
15;2;9;123;30306
16;2;9;128;44126
17;2;9;128;44126
1;2;10;64;43181
2;2;10;64;43181
3;2;10;59;34946
4;2;10;59;34946
5;2;10;72;47892
6;2;10;72;47892
7;2;10;72;47892
8;2;10;65;58110
9;2;10;65;58110
10;2;10;65;58110
11;2;10;65;58110
12;2;10;66;16241
13;2;10;66;16241
14;2;10;66;16241
15;2;10;66;16241
16;2;10;69;23647
17;2;10;69;23647
1;2;11;57;38858
2;2;11;57;38858
3;2;11;53;31448
4;2;11;53;31448
5;2;11;64;43098
6;2;11;64;43098
7;2;11;64;43098
8;2;11;59;52293
9;2;11;59;52293
10;2;11;59;52293
11;2;11;59;52293
12;2;11;59;14615
13;2;11;59;14615
14;2;11;59;14615
15;2;11;59;14615
16;2;11;62;21280
17;2;11;62;21280
1;2;12;14;9328
2;2;12;14;9328
3;2;12;13;7549
4;2;12;13;7549
5;2;12;15;10346
6;2;12;15;10346
7;2;12;15;10346
8;2;12;14;12553
9;2;12;14;12553
10;2;12;14;12553
11;2;12;14;12553
12;2;12;14;3508
13;2;12;14;3508
14;2;12;14;3508
15;2;12;14;3508
16;2;12;15;5108
17;2;12;15;5108
1;2;13;18;12169
2;2;13;18;12169
3;2;13;17;9848
4;2;13;17;9848
5;2;13;20;13497
6;2;13;20;13497
7;2;13;20;13497
8;2;13;18;16376
9;2;13;18;16376
10;2;13;18;16376
11;2;13;18;16376
12;2;13;19;4577
13;2;13;19;4577
14;2;13;19;4577
15;2;13;19;4577
16;2;13;19;6664
17;2;13;19;6664
1;2;14;48;32497
2;2;14;48;32497
3;2;14;45;26299
4;2;14;45;26299
5;2;14;54;36043
6;2;14;54;36043
7;2;14;54;36043
8;2;14;49;43732
9;2;14;49;43732
10;2;14;49;43732
11;2;14;49;43732
12;2;14;50;12222
13;2;14;50;12222
14;2;14;50;12222
15;2;14;50;12222
16;2;14;52;17796
17;2;14;52;17796
1;2;15;66;44472
2;2;15;66;44472
3;2;15;61;35991
4;2;15;61;35991
5;2;15;74;49325
6;2;15;74;49325
7;2;15;74;49325
8;2;15;67;59848
9;2;15;67;59848
10;2;15;67;59848
11;2;15;67;59848
12;2;15;68;16727
13;2;15;68;16727
14;2;15;68;16727
15;2;15;68;16727
16;2;15;71;24354
17;2;15;71;24354
1;2;16;52;35265
2;2;16;52;35265
3;2;16;48;28540
4;2;16;48;28540
5;2;16;58;39113
6;2;16;58;39113
7;2;16;58;39113
8;2;16;53;47458
9;2;16;53;47458
10;2;16;53;47458
11;2;16;53;47458
12;2;16;54;13264
13;2;16;54;13264
14;2;16;54;13264
15;2;16;54;13264
16;2;16;56;19312
17;2;16;56;19312
1;2;17;99;66978
2;2;17;99;66978
3;2;17;92;54206
4;2;17;92;54206
5;2;17;111;74287
6;2;17;111;74287
7;2;17;111;74287
8;2;17;101;90136
9;2;17;101;90136
10;2;17;101;90136
11;2;17;101;90136
12;2;17;102;25192
13;2;17;102;25192
14;2;17;102;25192
15;2;17;102;25192
16;2;17;107;36679
17;2;17;107;36679
1;2;18;122;82897
2;2;18;122;82897
3;2;18;114;67088
4;2;18;114;67088
5;2;18;137;91942
6;2;18;137;91942
7;2;18;137;91942
8;2;18;125;111558
9;2;18;125;111558
10;2;18;125;111558
11;2;18;125;111558
12;2;18;127;31179
13;2;18;127;31179
14;2;18;127;31179
15;2;18;127;31179
16;2;18;132;45396
17;2;18;132;45396
1;2;19;83;56587
2;2;19;83;56587
3;2;19;78;45796
4;2;19;78;45796
5;2;19;94;62762
6;2;19;94;62762
7;2;19;94;62762
8;2;19;85;76152
9;2;19;85;76152
10;2;19;85;76152
11;2;19;85;76152
12;2;19;87;21283
13;2;19;87;21283
14;2;19;87;21283
15;2;19;87;21283
16;2;19;90;30988
17;2;19;90;30988
1;2;20;43;29053
2;2;20;43;29053
3;2;20;40;23512
4;2;20;40;23512
5;2;20;48;32223
6;2;20;48;32223
7;2;20;48;32223
8;2;20;44;39097
9;2;20;44;39097
10;2;20;44;39097
11;2;20;44;39097
12;2;20;44;10927
13;2;20;44;10927
14;2;20;44;10927
15;2;20;44;10927
16;2;20;46;15910
17;2;20;46;15910
1;2;21;45;30320
2;2;21;45;30320
3;2;21;42;24538
4;2;21;42;24538
5;2;21;50;33628
6;2;21;50;33628
7;2;21;50;33628
8;2;21;46;40802
9;2;21;46;40802
10;2;21;46;40802
11;2;21;46;40802
12;2;21;46;11404
13;2;21;46;11404
14;2;21;46;11404
15;2;21;46;11404
16;2;21;48;16604
17;2;21;48;16604
1;2;22;87;59080
2;2;22;87;59080
3;2;22;81;47813
4;2;22;81;47813
5;2;22;98;65527
6;2;22;98;65527
7;2;22;98;65527
8;2;22;89;79507
9;2;22;89;79507
10;2;22;89;79507
11;2;22;89;79507
12;2;22;90;22221
13;2;22;90;22221
14;2;22;90;22221
15;2;22;90;22221
16;2;22;94;32354
17;2;22;94;32354
1;2;23;85;57893
2;2;23;85;57893
3;2;23;79;46853
4;2;23;79;46853
5;2;23;96;64210
6;2;23;96;64210
7;2;23;96;64210
8;2;23;87;77910
9;2;23;87;77910
10;2;23;87;77910
11;2;23;87;77910
12;2;23;89;21775
13;2;23;89;21775
14;2;23;89;21775
15;2;23;89;21775
16;2;23;92;31704
17;2;23;92;31704
1;2;24;87;59080
2;2;24;87;59080
3;2;24;81;47813
4;2;24;81;47813
5;2;24;98;65527
6;2;24;98;65527
7;2;24;98;65527
8;2;24;89;79507
9;2;24;89;79507
10;2;24;89;79507
11;2;24;89;79507
12;2;24;90;22221
13;2;24;90;22221
14;2;24;90;22221
15;2;24;90;22221
16;2;24;94;32354
17;2;24;94;32354
1;2;25;46;30917
2;2;25;46;30917
3;2;25;42;25021
4;2;25;42;25021
5;2;25;51;34291
6;2;25;51;34291
7;2;25;51;34291
8;2;25;47;41607
9;2;25;47;41607
10;2;25;47;41607
11;2;25;47;41607
12;2;25;47;11629
13;2;25;47;11629
14;2;25;47;11629
15;2;25;47;11629
16;2;25;49;16931
17;2;25;49;16931
1;2;26;50;34134
2;2;26;50;34134
3;2;26;47;27624
4;2;26;47;27624
5;2;26;57;37858
6;2;26;57;37858
7;2;26;57;37858
8;2;26;51;45935
9;2;26;51;45935
10;2;26;51;45935
11;2;26;51;45935
12;2;26;52;12838
13;2;26;52;12838
14;2;26;52;12838
15;2;26;52;12838
16;2;26;54;18693
17;2;26;54;18693
1;2;27;103;70210
2;2;27;103;70210
3;2;27;96;56821
4;2;27;96;56821
5;2;27;116;77871
6;2;27;116;77871
7;2;27;116;77871
8;2;27;106;94485
9;2;27;106;94485
10;2;27;106;94485
11;2;27;106;94485
12;2;27;107;26407
13;2;27;107;26407
14;2;27;107;26407
15;2;27;107;26407
16;2;27;112;38449
17;2;27;112;38449
1;2;28;31;21154
2;2;28;31;21154
3;2;28;29;17120
4;2;28;29;17120
5;2;28;35;23462
6;2;28;35;23462
7;2;28;35;23462
8;2;28;32;28468
9;2;28;32;28468
10;2;28;32;28468
11;2;28;32;28468
12;2;28;32;7956
13;2;28;32;7956
14;2;28;32;7956
15;2;28;32;7956
16;2;28;34;11584
17;2;28;34;11584
1;2;29;92;62600
2;2;29;92;62600
3;2;29;86;50662
4;2;29;86;50662
5;2;29;104;69431
6;2;29;104;69431
7;2;29;104;69431
8;2;29;94;84244
9;2;29;94;84244
10;2;29;94;84244
11;2;29;94;84244
12;2;29;96;23545
13;2;29;96;23545
14;2;29;96;23545
15;2;29;96;23545
16;2;29;100;34281
17;2;29;100;34281
1;2;30;3;2090
2;2;30;3;2090
3;2;30;3;1691
4;2;30;3;1691
5;2;30;3;2318
6;2;30;3;2318
7;2;30;3;2318
8;2;30;3;2812
9;2;30;3;2812
10;2;30;3;2812
11;2;30;3;2812
12;2;30;3;786
13;2;30;3;786
14;2;30;3;786
15;2;30;3;786
16;2;30;3;1144
17;2;30;3;1144
1;2;31;27;18149
2;2;31;27;18149
3;2;31;25;14688
4;2;31;25;14688
5;2;31;30;20129
6;2;31;30;20129
7;2;31;30;20129
8;2;31;27;24424
9;2;31;27;24424
10;2;31;27;24424
11;2;31;27;24424
12;2;31;28;6826
13;2;31;28;6826
14;2;31;28;6826
15;2;31;28;6826
16;2;31;29;9939
17;2;31;29;9939
1;2;32;66;44797
2;2;32;66;44797
3;2;32;61;36254
4;2;32;61;36254
5;2;32;74;49685
6;2;32;74;49685
7;2;32;74;49685
8;2;32;67;60285
9;2;32;67;60285
10;2;32;67;60285
11;2;32;67;60285
12;2;32;69;16849
13;2;32;69;16849
14;2;32;69;16849
15;2;32;69;16849
16;2;32;71;24532
17;2;32;71;24532
1;2;33;61;41258
2;2;33;61;41258
3;2;33;57;33390
4;2;33;57;33390
5;2;33;68;45760
6;2;33;68;45760
7;2;33;68;45760
8;2;33;62;55523
9;2;33;62;55523
10;2;33;62;55523
11;2;33;62;55523
12;2;33;63;15518
13;2;33;63;15518
14;2;33;63;15518
15;2;33;63;15518
16;2;33;66;22594
17;2;33;66;22594
1;2;34;128;86733
2;2;34;128;86733
3;2;34;119;70193
4;2;34;119;70193
5;2;34;144;96197
6;2;34;144;96197
7;2;34;144;96197
8;2;34;131;116720
9;2;34;131;116720
10;2;34;131;116720
11;2;34;131;116720
12;2;34;133;32622
13;2;34;133;32622
14;2;34;133;32622
15;2;34;133;32622
16;2;34;138;47497
17;2;34;138;47497
1;2;35;166;112883
2;2;35;166;112883
3;2;35;155;91356
4;2;35;155;91356
5;2;35;187;125200
6;2;35;187;125200
7;2;35;187;125200
8;2;35;170;151911
9;2;35;170;151911
10;2;35;170;151911
11;2;35;170;151911
12;2;35;173;42457
13;2;35;173;42457
14;2;35;173;42457
15;2;35;173;42457
16;2;35;180;61817
17;2;35;180;61817
1;2;36;125;84744
2;2;36;125;84744
3;2;36;116;68583
4;2;36;116;68583
5;2;36;140;93991
6;2;36;140;93991
7;2;36;140;93991
